Date,Open,High,Low,Close,Adj Close,Volume
9/13/2017,10.72,11.61,10.68,11.41,11.41,10084500
9/14/2017,11.36,11.6,11.06,11.23,11.23,7962100
9/15/2017,11.2,11.69,11,11.52,11.52,7229000
9/18/2017,11.63,11.73,11.05,11.12,11.12,6438000
9/19/2017,11.17,11.27,10.87,10.97,10.97,4780500
9/20/2017,10.92,11.03,10.61,10.66,10.66,4202300
9/21/2017,10.9,11.47,10.88,10.94,10.94,8364200
9/22/2017,10.98,11.16,10.54,10.75,10.75,5603900
9/25/2017,10.91,11.4,10.88,11.18,11.18,9287100
9/26/2017,11.28,11.87,11.25,11.51,11.51,9039200
9/27/2017,11.55,11.89,11.27,11.69,11.69,7732700
9/28/2017,11.79,11.8,11.29,11.48,11.48,8134700
9/29/2017,11.48,11.57,10.96,11.01,11.01,8016100
10/2/2017,10.82,11.25,10.7,11.12,11.12,5197600
10/3/2017,11.11,11.235,10.99,11.09,11.09,3064700
10/4/2017,11.06,11.41,10.16,10.39,10.39,12572800
10/5/2017,10.59,10.639,9.61,9.67,9.67,13511600
10/6/2017,9.76,10.18,9.75,9.88,9.88,10384700
10/9/2017,9.95,10.175,9.71,9.81,9.81,6707800
10/10/2017,9.84,9.95,9.705,9.75,9.75,4432400
10/11/2017,9.71,9.79,9.42,9.63,9.63,5905500
10/12/2017,9.59,9.69,9.47,9.58,9.58,4238300
10/13/2017,9.62,9.74,9.535,9.56,9.56,4044000
10/16/2017,9.59,9.6,9.03,9.08,9.08,10704700
10/17/2017,9.1,9.4,9.05,9.23,9.23,8553900
10/18/2017,9.68,9.85,9.46,9.47,9.47,10130700
10/19/2017,9.49,9.54,9.17,9.21,9.21,4491600
10/20/2017,9.31,9.53,9.24,9.48,9.48,4450300
10/23/2017,9.44,9.54,9.31,9.4,9.4,4252100
10/24/2017,9.41,9.51,9.37,9.4,9.4,2878700
10/25/2017,9.71,9.86,9.46,9.62,9.62,6838100
10/26/2017,9.65,10.03,9.64,9.86,9.86,7459100
10/27/2017,10.07,10.1,9.76,10,10,4675900
10/30/2017,10.08,10.5,10.05,10.34,10.34,7305000
10/31/2017,10.68,10.7,10.22,10.43,10.43,6392200
11/1/2017,10.47,10.67,10.29,10.67,10.67,9846000
11/2/2017,9.57,9.64,9,9.58,9.58,11725500
11/3/2017,9.43,9.6,9.1,9.13,9.13,7997100
11/6/2017,9.21,9.22,8.79,8.91,8.91,8970200
11/7/2017,9,9,8.81,8.85,8.85,4102600
11/8/2017,8.77,8.83,8.61,8.73,8.73,4244700
11/9/2017,8.7,8.72,8.32,8.35,8.35,4675400
11/10/2017,8.41,8.65,8.36,8.51,8.51,4172400
11/13/2017,8.54,8.66,8.35,8.38,8.38,3654700
